sectors ABAL0001 on ch 45,ABAQ0001 on ch 44, cost =0.002
sectors ABAL0003 on ch 69,ABAP0002 on ch 69, cost =0.006
sectors ABAL0003 on ch 80,ABAV0003 on ch 80, cost =0.003
sectors ABAM0002 on ch 77,ABAH0003 on ch 77, cost =0.004
sectors ABAM0002 on ch 53,ABAH0003 on ch 53, cost =0.004
sectors ABAM0003 on ch 45,ABAJ0001 on ch 45, cost =0.002
sectors ABAN0001 on ch 32,ABAI0001 on ch 32, cost =0.002
sectors ABAN0002 on ch 10,ABAI0001 on ch 10, cost =0.006
sectors ABAO0001 on ch **,ABAY0003 on ch **, cost =0.023
sectors ABAP0001 on ch 49,ABAH0003 on ch 48, cost =0.002
sectors ABAP0001 on ch 49,ABAU0003 on ch 49, cost =0.002
sectors ABAP0001 on ch 15,ABBA0001 on ch 15, cost =0.002
sectors ABAP0001 on ch 49,ABAF0003 on ch 49, cost =0.002
sectors ABAP0002 on ch 72,ABAH0003 on ch 73, cost =0.001
sectors ABAP0002 on ch 69,ABAH0003 on ch 68, cost =0.001
sectors ABAP0002 on ch 69,ABAL0003 on ch 69, cost =0.023
sectors ABAP0002 on ch 72,ABAQ0001 on ch 72, cost =0.012
sectors ABAP0002 on ch 72,ABBC0001 on ch 72, cost =0.012
sectors ABAQ0001 on ch 44,ABAH0003 on ch 44, cost =0.006
sectors ABAQ0001 on ch 20,ABAH0004 on ch 20, cost =0.005
sectors ABAQ0001 on ch 44,ABAK0003 on ch 44, cost =0.005
sectors ABAQ0001 on ch 72,ABAP0002 on ch 72, cost =0.002
sectors ABAQ0001 on ch 72,ABBC0001 on ch 72, cost =0.004
sectors ABAR0003 on ch 56,ABAE0003 on ch 56, cost =0.002
sectors ABAT0001 on ch 97,ABAL0001 on ch 96, cost =0.001
sectors ABAU0003 on ch 68,ABAH0003 on ch 68, cost =0.003
sectors ABAU0003 on ch 49,ABAP0001 on ch 49, cost =0.010
sectors ABAV0003 on ch 80,ABAL0003 on ch 80, cost =0.004
sectors ABAW0001 on ch  5,ABAX0001 on ch  5, cost =0.037
sectors ABAW0003 on ch 63,ABAH0005 on ch 63, cost =0.002
sectors ABAX0001 on ch 96,ABAJ0003 on ch 97, cost =0.002
sectors ABAX0001 on ch  5,ABAW0001 on ch  5, cost =0.045
sectors ABAZ0003 on ch **,ABAW0003 on ch **, cost =0.011
sectors ABBC0001 on ch 72,ABAH0003 on ch 73, cost =0.001
sectors ABBC0001 on ch **,ABAJ0001 on ch **, cost =0.014
sectors ABBC0001 on ch 72,ABAQ0001 on ch 72, cost =0.014
sectors ABBC0002 on ch 25,ABAH0003 on ch 25, cost =0.003
sectors ABBC0002 on ch 48,ABAH0003 on ch 48, cost =0.003
sectors ABAF0001 on ch 93,ABAH0003 on ch 93, cost =0.002
sectors ABAF0001 on ch 87,ABAH0003 on ch 87, cost =0.002
sectors ABAF0001 on ch 34,ABAY0003 on ch 34, cost =0.007
sectors ABAF0001 on ch 93,ABBB0001 on ch 92, cost =0.002
sectors ABAF0003 on ch 10,ABAI0001 on ch 10, cost =0.002
  total cost =  0.7875696    
